City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,richards bay,-28.783,32.0377,70.81,76,100,5.35,ZA,1711845611
325,tutoia,-2.7619,-42.2744,77.22,90,100,2.62,BR,1711845659
326,viitasaari,63.0667,25.8667,33.82,94,100,4.38,FI,1711845882
327,mazagao,-0.115,-51.2894,84.25,93,100,3.09,BR,1711845883
328,ulanhot,46.0833,122.0833,28.11,32,0,14.27,CN,1711845883
329,ponnani,10.767,75.9252,79.92,86,79,2.08,IN,1711845883
330,astrakhan,46.3497,48.0408,44.47,81,100,4.47,RU,1711845883
331,saint-joseph,-21.3667,55.6167,75.58,79,6,4.83,RE,1711845884
332,kedrovyy,56.1667,91.8167,36.03,88,94,11.39,RU,1711845884
333,sulak,43.2734,47.5146,52.12,79,100,10.45,RU,1711845884
334,nantucket,41.2835,-70.0995,47.01,69,0,17.27,US,1711845848
335,nguigmi,14.2495,13.1092,84.16,16,100,11.21,NE,1711845885
336,la passe,45.5549,-0.8967,50.23,93,93,10.33,FR,1711845885
337,ngaoundere,7.3167,13.5833,73.65,48,64,1.63,CM,1711845885
338,gaalkacyo,6.7697,47.4308,73.71,82,51,10.74,SO,1711845886
339,new norfolk,-42.7826,147.0587,63.91,55,95,1.52,AU,1711845886
340,polyarnyy,69.1989,33.4478,22.6,95,100,3.15,RU,1711845654
341,aykhal,66.0,111.5,8.91,92,100,21.54,RU,1711845593
342,weno,7.4515,151.8468,82.76,79,99,23.35,FM,1711845684
343,la ronge,55.1001,-105.2842,25.05,68,75,1.14,CA,1711845665
344,westport,41.1415,-73.3579,57.24,24,20,8.05,US,1711845618
345,uruzgan,32.8333,66.0,45.28,52,0,4.85,AF,1711845888
346,lenger,42.183,69.8839,29.64,59,8,3.15,KZ,1711845888
347,lerwick,60.1545,-1.1494,44.6,91,14,5.46,GB,1711845889
348,qarqaraly,49.4058,75.4742,23.9,80,100,14.45,KZ,1711845889
349,thetford-mines,46.0937,-71.3054,32.11,59,0,9.66,CA,1711845890
350,sile,41.1754,29.6133,58.57,59,1,1.99,TR,1711845890
351,colares,38.7992,-9.4469,53.89,89,28,24.0,PT,1711845643
352,belgrade,44.804,20.4651,64.06,32,0,11.5,RS,1711845623
353,monrovia,6.3005,-10.7969,79.18,86,99,2.39,LR,1711845890
354,holmsund,63.706,20.3641,31.95,92,100,3.44,SE,1711845891
355,coquimbo,-29.9533,-71.3436,60.53,94,100,6.91,CL,1711845538
356,pionerskiy,54.9508,20.2275,52.14,88,100,10.8,RU,1711845891
357,nemuro,43.3236,145.575,35.24,97,100,23.06,JP,1711845587
358,mathba,22.2855,89.9629,79.72,81,0,6.29,BD,1711845892
359,tughyl,47.7252,84.2063,37.58,70,100,9.86,KZ,1711845892
360,pama,11.2497,0.7075,91.49,30,86,3.71,BF,1711845892
361,atherton,53.5237,-2.4935,48.25,75,100,1.99,GB,1711845892
362,uliastay,47.7417,96.8444,39.0,60,100,3.36,MN,1711845621
363,zaragoza,41.6561,-0.8773,53.47,80,75,6.91,ES,1711845594
364,keflavik,64.0049,-22.5624,30.11,69,20,25.32,IS,1711845893
365,minas de marcona,-15.2119,-75.1103,65.61,79,100,10.02,PE,1711845641
